Method,rho2,param_y,MAE
Neural-ECF,-0.6,1.5,4.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,6.0
KCPA,-0.6,1.5,6.0
Neural-ECF,-0.6,1.5,47.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,150.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,6.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,3.0
KCPA,-0.6,1.5,3.0
Neural-ECF,-0.6,1.5,20.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,180.0
e-Divisive,-0.6,1.5,9.0
KCPA,-0.6,1.5,9.0
Neural-ECF,-0.6,1.5,12.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,130.0
e-Divisive,-0.6,1.5,2.0
