Method,n_star_ratio,MAE
Neural-ECF,0.3,1.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,80.0
e-Divisive,0.3,2.0
KCPA,0.3,2.0
Neural-ECF,0.3,32.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,60.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,16.0
KCPA,0.3,4.0
Neural-ECF,0.3,106.0
MIDAST[KS],0.3,130.0
MIDAST[MMD],0.3,50.0
e-Divisive,0.3,4.0
KCPA,0.3,2.0
Neural-ECF,0.3,4.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,16.0
KCPA,0.3,16.0
Neural-ECF,0.3,1.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,3.0
KCPA,0.3,1.0
Neural-ECF,0.3,
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,3.0
KCPA,0.3,3.0
Neural-ECF,0.3,
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,0.0
e-Divisive,0.3,2.0
KCPA,0.3,2.0
Neural-ECF,0.3,30.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,2.0
KCPA,0.3,0.0
Neural-ECF,0.3,47.0
MIDAST[KS],0.3,100.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,0.0
Neural-ECF,0.3,6.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,1.0
KCPA,0.3,0.0
Neural-ECF,0.3,8.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,50.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,
MIDAST[KS],0.3,60.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,44.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,15.0
KCPA,0.3,2.0
Neural-ECF,0.3,3.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
