Method,rho2,alpha2,MAE,time_s
MIDAST[KS],0.9,1.5,,5.3071699142456055
Neural-ECF[argmax],0.9,1.5,5.0,1.6108238697052002
Neural-ECF[peaks],0.9,1.5,5.0,1.6108238697052002
MIDAST[KS],0.9,1.5,,5.280240058898926
Neural-ECF[argmax],0.9,1.5,5.0,1.6463680267333984
Neural-ECF[peaks],0.9,1.5,5.0,1.6463680267333984
MIDAST[KS],0.9,1.5,,5.402301073074341
Neural-ECF[argmax],0.9,1.5,5.0,1.6888129711151123
Neural-ECF[peaks],0.9,1.5,5.0,1.6888129711151123
MIDAST[KS],0.9,1.5,,5.235404014587402
Neural-ECF[argmax],0.9,1.5,0.0,1.6864550113677979
Neural-ECF[peaks],0.9,1.5,0.0,1.6864550113677979
MIDAST[KS],0.9,1.5,,5.465921640396118
Neural-ECF[argmax],0.9,1.5,0.0,1.5530548095703125
Neural-ECF[peaks],0.9,1.5,0.0,1.5530548095703125
MIDAST[KS],0.9,1.5,,5.26292610168457
Neural-ECF[argmax],0.9,1.5,25.0,1.599881887435913
Neural-ECF[peaks],0.9,1.5,25.0,1.599881887435913
MIDAST[KS],0.9,1.5,,5.369271755218506
Neural-ECF[argmax],0.9,1.5,10.0,1.6702191829681396
Neural-ECF[peaks],0.9,1.5,10.0,1.6702191829681396
MIDAST[KS],0.9,1.5,,5.243196964263916
Neural-ECF[argmax],0.9,1.5,5.0,1.600640058517456
Neural-ECF[peaks],0.9,1.5,5.0,1.600640058517456
MIDAST[KS],0.9,1.5,,5.2355687618255615
Neural-ECF[argmax],0.9,1.5,5.0,1.6061549186706543
Neural-ECF[peaks],0.9,1.5,5.0,1.6061549186706543
MIDAST[KS],0.9,1.5,,5.2255918979644775
Neural-ECF[argmax],0.9,1.5,5.0,1.6185789108276367
Neural-ECF[peaks],0.9,1.5,5.0,1.6185789108276367
MIDAST[KS],0.9,1.5,,5.248025894165039
Neural-ECF[argmax],0.9,1.5,0.0,1.6756868362426758
Neural-ECF[peaks],0.9,1.5,0.0,1.6756868362426758
MIDAST[KS],0.9,1.5,,5.189833164215088
Neural-ECF[argmax],0.9,1.5,5.0,1.6065747737884521
Neural-ECF[peaks],0.9,1.5,5.0,1.6065747737884521
MIDAST[KS],0.9,1.5,,5.263606786727905
Neural-ECF[argmax],0.9,1.5,5.0,1.722649097442627
Neural-ECF[peaks],0.9,1.5,5.0,1.722649097442627
MIDAST[KS],0.9,1.5,,5.305056810379028
Neural-ECF[argmax],0.9,1.5,0.0,1.6168630123138428
Neural-ECF[peaks],0.9,1.5,0.0,1.6168630123138428
MIDAST[KS],0.9,1.5,,5.262814998626709
Neural-ECF[argmax],0.9,1.5,5.0,1.623358964920044
Neural-ECF[peaks],0.9,1.5,5.0,1.623358964920044
MIDAST[KS],0.9,1.5,,5.144466876983643
Neural-ECF[argmax],0.9,1.5,40.0,1.6481480598449707
Neural-ECF[peaks],0.9,1.5,40.0,1.6481480598449707
MIDAST[KS],0.9,1.5,,5.216533899307251
Neural-ECF[argmax],0.9,1.5,0.0,1.6106221675872803
Neural-ECF[peaks],0.9,1.5,0.0,1.6106221675872803
MIDAST[KS],0.9,1.5,,5.213946104049683
Neural-ECF[argmax],0.9,1.5,5.0,1.6137988567352295
Neural-ECF[peaks],0.9,1.5,5.0,1.6137988567352295
MIDAST[KS],0.9,1.5,,5.290783166885376
Neural-ECF[argmax],0.9,1.5,10.0,1.673671007156372
Neural-ECF[peaks],0.9,1.5,10.0,1.673671007156372
MIDAST[KS],0.9,1.5,,5.346221923828125
Neural-ECF[argmax],0.9,1.5,0.0,1.6352870464324951
Neural-ECF[peaks],0.9,1.5,0.0,1.6352870464324951
MIDAST[KS],0.9,1.5,,5.318688154220581
Neural-ECF[argmax],0.9,1.5,0.0,1.6533949375152588
Neural-ECF[peaks],0.9,1.5,0.0,1.6533949375152588
MIDAST[KS],0.9,1.5,,5.461694955825806
Neural-ECF[argmax],0.9,1.5,5.0,1.6955630779266357
Neural-ECF[peaks],0.9,1.5,5.0,1.6955630779266357
MIDAST[KS],0.9,1.5,,5.272937059402466
Neural-ECF[argmax],0.9,1.5,15.0,1.6208267211914062
Neural-ECF[peaks],0.9,1.5,15.0,1.6208267211914062
MIDAST[KS],0.9,1.5,,5.112978935241699
